Latitude,Longitude,name_en
34.84694,67.82525,Cultural Landscape and Archaeological Remains of the Bamiyan Valley
34.39641667,64.51588889,Minaret and Archaeological Remains of Jam
40.07416667,20.14083333,Historic Centres of Berat and Gjirokastra
39.745732,20.02095,Butrint
35.81844,4.78684,Al Qal'a of Beni Hammad
25.5,9.0,Tassili n'Ajjer
32.48333,3.68333,M'Zab Valley
36.32056,5.73667,Dj¨¦mila
36.55,2.383333333,Tipasa
35.48416667,6.468861111,Timgad
36.78333,3.06028,Kasbah of Algiers
42.49472222,1.595555556,Madriu-Perafita-Claror Valley
-6.268888889,14.24972222,"Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo"
17.00694444,-61.76166667,Antigua Naval Dockyard and Related Archaeological Sites
-50.0,-73.24944,Los Glaciares National Park
-25.577357,-54.286073,Iguazu National Park
-47.15,-70.66666667,"Cueva de las Manos, R¨ªo Pinturas"
-42.5,-64.0,Pen¨ªnsula Vald¨¦s
-30.0,-68.0,Ischigualasto / Talampaya Natural Parks
-31.42056,-64.19111,Jesuit Block and Estancias of C¨®rdoba
-23.19986111,-65.34886111,Quebrada de Humahuaca
-42.8528,-71.8728,Los Alerces National Park
-34.53664167,-58.46533333,"ESMA Museum and Site of Memory ¨C Former Clandestine Centre of Detention, Torture and Extermination"
41.095,44.71028,Monasteries of Haghpat and Sanahin
40.140439,44.818525,Monastery of Geghard and the Upper Azat Valley
40.15931,44.29514,Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots
-12.83333333,132.8333333,Kakadu National Park
-18.28611111,147.7,Great Barrier Reef
-33.85666667,151.2152778,Sydney Opera House
-34.0,143.0,Willandra Lakes Region
-43.11847222,146.2305556,Tasmanian Wilderness
-31.56555556,159.0883333,Lord Howe Island Group
-28.25,150.05,Gondwana Rainforests of Australia
-25.33333333,131.0,Ulu<U>r</U>u-Kata Tju<U>t</U>a National Park
-15.65,144.9666667,Wet Tropics of Queensland
-53.1,73.5,Heard and McDonald Islands
-25.48611111,113.4361111,"Shark Bay, Western Australia"
-54.59472222,158.8955556,Macquarie Island
-25.21666667,153.1333333,K¡¯gari (Fraser Island)
-19.08333333,138.7166667,Australian Fossil Mammal Sites (Riversleigh / Naracoorte)
-33.7,150.0,Greater Blue Mountains Area
-17.5,128.5,Purnululu National Park
-37.80611111,144.9702778,Royal Exhibition Building and Carlton Gardens
-33.37833333,150.9944444,Australian Convict Sites
-22.5625,113.8102778,Ningaloo Coast
-38.08111111,141.8852778,Budj Bim Cultural Landscape
47.80055556,13.04333333,Historic Centre of the City of Salzburg
47.64877778,15.82797222,Semmering Railway
48.18666667,16.31333333,Palace and Gardens of Sch?nbrunn
47.55944444,13.64638889,Hallstatt-Dachstein / Salzkammergut Cultural Landscape
47.07305556,15.43861111,City of Graz ¨C Historic Centre and Schloss Eggenberg
48.36444444,15.43416667,Wachau Cultural Landscape
48.2094,16.3699,Historic Centre of Vienna
40.36666667,49.83333333,Walled City of Baku with the Shirvanshah's Palace and Maiden Tower
40.125,49.375,Gobustan Rock Art Cultural Landscape
41.20333333,47.1875,Historic Centre of Sheki with the Khan¡¯s Palace
40.7059,48.8854,Cultural Landscape of Khinalig People and ¡°K?? Yolu¡± Transhumance Route
26.23306,50.52722222,Qal¡¯at al-Bahrain ¨C Ancient Harbour and Capital of Dilmun
26.24128,50.61351,"Pearling, Testimony of an Island Economy"
26.14972222,50.51277778,Dilmun Burial Mounds
22.66667,89.8,Historic Mosque City of Bagerhat
25.03333333,88.98333333,Ruins of the Buddhist Vihara at Paharpur
21.95,89.18333,The Sundarbans
13.09666667,-59.61388889,Historic Bridgetown and its Garrison
53.45108333,26.47272222,Mir Castle Complex
53.22278,26.69139,"Architectural, Residential and Cultural Complex of the Radziwill Family at Nesvizh"
51.03097222,4.47375,Flemish B¨¦guinages
50.48111,4.13722,"The Four Lifts on the Canal du Centre and their Environs, La Louvi¨¨re and Le Roeulx (Hainaut)"
50.84668,4.35242,"La Grand-Place, Brussels"
51.20891,3.22527,Historic Centre of Brugge
50.82806,4.36223,Major Town Houses of the Architect Victor Horta (Brussels)
50.42011348,3.982268911,Neolithic Flint Mines at Spiennes (Mons)
50.60603,3.38926,Notre-Dame Cathedral in Tournai
51.21833,4.39778,Plantin-Moretus House-Workshops-Museum Complex
50.835,4.416111111,Stoclet House
50.43527778,3.838333333,Major Mining Sites of Wallonia
17.190549,-87.846213,Belize Barrier Reef Reserve System
7.183333333,1.983333333,Royal Palaces of Abomey
-19.599112,-65.749813,City of Potos¨ª
-16.0,-60.5,Jesuit Missions of the Chiquitos
-19.04799,-65.259592,Historic City of Sucre
-16.555003,-68.673278,Tiwanaku: Spiritual and Political Centre of the Tiwanaku Culture
-18.178323,-63.820485,Fuerte de Samaipata
-14.26667,-60.86667,Noel Kempff Mercado National Park
43.33730556,17.815,Old Bridge Area of the Old City of Mostar
43.78144444,19.288025,Mehmed Pa?a Sokolovi? Bridge in Vi?egrad
42.83611111,17.98361111,"Vjetrenica Cave, Ravno"
-18.75,21.73333333,Tsodilo
-19.28333333,22.9,Okavango Delta
-20.38888889,-43.50555556,Historic Town of Ouro Preto
-8.013333333,-34.845,Historic Centre of the Town of Olinda
-12.972917,-38.512981,Historic Centre of Salvador de Bahia
-20.508201,-43.860806,Sanctuary of Bom Jesus do Congonhas
-25.44814722,-53.80014444,Igua?u National Park
-15.78333,-47.9,Brasilia
-8.718634,-42.652436,Serra da Capivara National Park
-2.530054,-44.303369,Historic Centre of S?o Lu¨ªs
-18.244776,-43.59768,Historic Centre of the Town of Diamantina
-16.5,-39.25,Discovery Coast Atlantic Forest Reserves
-24.16667,-48.0,Atlantic Forest South-East Reserves
-15.934231,-50.140164,Historic Centre of the Town of Goi¨¢s
-2.333333333,-62.00833333,Central Amazon Conservation Complex
